Open,Close
581.36,580.63
580.63,580.33
580.33,581.03
580.65,580.3
580.35,580.57
580.34,580.24
580.5,580.5
580.5,579.92
579.89,580.15
580.19,581.4
581.4,581.26
581.26,580.22
580.22,579.09
579.03,578.07
578.07,577.99
578.0,577.92
577.92,578.7
578.7,578.76
578.76,578.22
578.61,577.53
577.53,578.03
577.72,577.39
577.41,578.12
577.6,577.38
577.38,577.99
577.42,577.57
577.57,577.45
578.02,578.42
578.38,577.27
577.33,578.0
578.03,578.13
578.37,578.93
578.57,578.51
578.51,579.13
579.15,581.22
581.24,581.98
581.79,581.59
581.58,581.12
581.12,581.31
581.75,581.24
581.59,581.81
581.76,581.25
580.67,577.5
577.75,577.25
577.5,577.0
577.28,578.23
578.23,578.54
578.5,578.58
578.18,579.18
578.75,578.79
579.0,583.93
583.93,586.46
586.41,588.78
588.78,586.96
586.96,586.5
586.5,587.6
587.58,586.92
586.84,588.79
589.14,589.1
589.1,588.3
588.3,588.7
588.71,588.4
588.51,587.78
587.78,587.8
587.79,587.99
587.71,587.54
587.98,590.0
590.0,593.14
593.14,595.1
595.09,596.67
596.23,596.15
596.39,595.26
595.26,594.51
594.51,594.38
594.39,594.2
594.2,595.27
595.27,596.21
595.96,594.62
594.62,593.67
593.8,594.0
594.0,594.27
594.27,593.65
594.0,593.93
594.05,593.9
593.52,594.7
594.7,594.65
594.65,594.7
594.7,595.62
595.62,594.77
594.23,596.12
596.05,596.0
596.0,597.01
594.97,595.73
595.05,596.36
596.25,595.97
596.12,596.78
596.77,596.58
596.92,596.0
596.04,594.98
594.97,594.28
593.8,594.43
594.43,594.98
594.98,594.49
594.1,594.24
594.25,594.54
594.23,594.53
594.53,594.54
594.29,594.5
594.46,594.81
594.95,594.3
594.29,594.15
594.08,592.0
592.0,592.41
592.5,593.66
594.27,592.97
592.97,593.48
593.48,593.44
593.42,594.88
593.76,593.75
593.76,593.29
593.5,594.21
594.21,592.89
592.88,591.21
592.24,594.56
594.13,593.6
593.62,593.66
593.66,594.07
594.11,593.81
593.81,593.11
593.15,592.91
592.91,593.18
593.37,594.08
594.11,594.23
594.46,593.45
594.18,593.4
593.15,593.4
593.2,593.9
593.89,593.52
593.81,594.3
594.3,594.28
594.28,594.09
594.15,593.98
593.9,593.65
594.07,594.33
594.63,595.6
595.6,595.15
595.15,595.94
595.99,596.0
596.0,596.75
596.74,596.39
595.94,595.7
595.7,596.01
596.45,596.0
596.0,596.78
596.79,596.6
596.48,596.64
596.97,597.25
597.42,601.92
602.17,602.41
602.4,603.8
603.79,603.59
603.84,604.08
604.2,605.01
605.01,605.03
605.4,605.6
605.55,605.2
605.21,605.3
605.36,605.8
605.8,606.21
606.69,607.0
607.0,606.8
606.8,606.62
606.62,606.64
606.64,606.93
606.93,607.1
607.1,607.17
607.17,607.0
607.43,607.65
607.77,610.25
610.03,612.7
612.7,617.88
617.88,620.47
620.47,623.95
624.0,627.99
590.55,589.02
589.52,582.25
582.26,584.69
584.67,583.0
582.38,583.44
583.2,582.74
582.74,583.98
583.98,586.3
586.3,583.97
583.97,583.83
583.82,585.44
585.44,587.58
587.1,590.01
590.01,587.99
587.98,590.48
590.53,590.11
590.42,590.09
590.08,590.38
590.38,588.91
588.91,586.72
586.71,586.7
586.3,587.47
587.39,586.5
586.5,585.5
585.35,585.46
585.46,587.11
587.11,588.18
588.0,587.54
587.51,587.41
587.0,587.08
587.0,585.5
585.51,585.66
586.0,586.0
586.77,584.44
584.44,584.0
584.01,583.7
583.7,580.58
580.97,580.91
580.88,580.99
581.4,581.46
581.47,581.33
581.68,582.56
582.56,586.08
586.47,584.73
585.0,586.0
586.5,586.0
585.8,586.54
586.54,585.07
585.07,585.89
585.6,586.69
586.57,586.06
586.37,586.0
586.04,586.92
586.92,587.81
588.0,587.34
587.34,588.04
587.27,589.34
589.34,589.4
589.4,590.59
590.59,589.53
589.53,590.79
590.03,591.5
591.5,590.97
590.97,591.9
591.9,591.49
591.88,592.03
592.03,591.71
591.71,591.8
591.8,588.99
588.99,588.62
589.33,591.5
591.5,591.48
591.48,592.11
592.11,592.52
592.51,591.55
591.55,591.45
591.21,590.05
590.05,589.71
589.71,590.56
590.56,591.61
591.52,592.6
592.62,594.0
594.0,597.11
597.11,596.66
596.66,596.95
596.95,596.53
596.99,596.32
596.63,597.15
597.15,597.52
597.77,598.21
598.21,599.5
599.5,599.75
589.49,589.16
589.16,588.5
588.5,588.7
589.0,588.24
588.32,590.28
590.69,589.4
590.0,589.85
589.92,590.0
590.0,588.99
589.45,588.31
